source_genesymbol	target_genesymbol	references	sources
SRF	FOS	10319327;10330504;10369679;10642500;10742173;10777594;10961986;11846562;11862715;12231642;12242287;12760745;14693367;1630900;17182846;17938209;18557893;1902475;19173292;19581295;2104799;2200737;2493627;2511007;7588632;7854423;7910456;8007980;8164681;8262053;8413226;8423791;8764983;8864058;8986626;9032300;9111305;9271374;9315625;9349499;9545312;9571041;9690619;9734357	TRRUST_from_CollecTRI
MYC	CDKN1A	10319992;10920185;11274368;12384701;12408820;12408868;12545156;12553001;12565816;12748190;12835716;14519204;15071503;15190211;15474507;15528212;15616584;15711923;15757889;15899785;16204065;16452181;16706751;16738884;17885207;18636159;19150257;19174556;19270520;20190815;20551174;20878079;21042278;21120446;21400515;21949397;22371483;22814619;23804320	TRRUST_from_CollecTRI
JUN	IL2	10320367;10700231;10878360;12370343;12884855;16116194;17097050;1737937;1740667;19181930;20557936;21832163;7565732;7642615;7739550;7989759;8051409;8114694;8397339;8436291;8468462;8473495;8660843;8683110;9233628;9541574;9590239;9605137;9774418	TRRUST_from_CollecTRI
SOX9	MIA	10320524;12783851;15722556;23727861	TRRUST_from_CollecTRI
IRF1	IFNA1	10321737;10358173;10406469;11473119;12077266;12466898;1371248;14581002;15722233;1614874;1712401;17617740;17785777;19929594;23542606;23670564;2475256;27012395;2911367;7507207;7559730;7606736;7687740;7957048;8004672;8052267;8062214;8621447;8805641;9078371;9315689;9625761;9831185	TRRUST_from_CollecTRI
IRF1	IRF2	10321737;12493643;1431317;15560761;7507207;7630638;8152803;9054665	TRRUST_from_CollecTRI
TP53	BTG2	10321740;15741235;16581545;19031424;19551855;21394211	TRRUST_from_CollecTRI
SP3	CDKN1A	10321829;10485470;10625687;10649433;11064455;12151347;12379120;12434298;12773551;15790310;16103879;16533812;16810128;18628250;18850004;19197985;19584258;20301197;23066038;23401853;23676218;7499379;8995437;9819384	TRRUST_from_CollecTRI
STAT1	IFNB1	10321980;15194680;16020513;17374731;18035482;19096445;22479354;24478085;9325014	TRRUST_from_CollecTRI
ATF2	JUN	10327051;10366004;11238729;11736649;12052888;12751796;12903123;15068801;16511568;19255142;8530413;9141200;9252389;9502786;9819389	TRRUST_from_CollecTRI
HSF1	TNF	10328874;10734139;11734555;15198852;18689673;19846753;20221720;22105779;24196691;25024384;25053922	TRRUST_from_CollecTRI
HSF1	IL1B	10328874;11801594;12468538;22467534;8926278	TRRUST_from_CollecTRI
EGR1	F3	10329706;10339488;10551840;10674404;10707957;11520792;11594561;11978801;12483323;12600889;15492129;16037570;16849552;17967787;19652887;20671239;8576248;8647847;9653181	TRRUST_from_CollecTRI
FOXE1	TPO	10329730;17709379;20094846;27347897;7818505;8264661;8602863;9287345	TRRUST_from_CollecTRI
JUN	CSF2	10330159;11509589;12760745;15840658;1900839;19890352;7579683;8135780;8524292;9190901;9862439	TRRUST_from_CollecTRI
MEF2A	JUN	10330170;10403485;12016267;12054430;12574153;1406636;19389706;20590529;7760790;8355696;9252389	TRRUST_from_CollecTRI
RUNX2	MMP13	10330183;10671545;10891395;11641401;11691923;14982932;15084595;15564063;16144844;16166639;16636074;19121369;19423655;19649655;20870727;21461405;22095691	TRRUST_from_CollecTRI
YBX1	MMP13	10330183;11274169;11641401;17822788	TRRUST_from_CollecTRI
PDX1	INS	10331405;10385428;10393088;10426567;10440129;10485916;10545530;10545531;10567373;10585868;10629047;10636926;10672004;10720084;10748090;10868963;10905482;10924326;11003654;11181516;11309388;11316746;11423476;11428722;11457885;11477691;11549279;11834725;12099699;12130581;12150938;12193567;12426319;12475772;12606496;12665509;12684063;12783165;14550306;15001545;15166251;15180990;15496408;15664997;15664999;15743769;15790780;15862113;15885879;15944145;15993959;16055439;16141209;16148004;16280646;16461554;16543365;16675598;16887799;16901969;17150967;17259388;17299038;17299998;17312465;17449132;17512083;17569705;17627512;17706592;17785922;17927952;17991720;17991758;18252719;18274620;18360684;18772243;18951876;19264802;19275670;1944296;19689288;20007976;20339896;20531294;20811152;20886630;20943817;21063109;21076579;21278380;21335550;21393239;21540283;22028710;22150363;22167125;22172402;22253604;22570331;22968147;22974359;23153982;23382704;23434589;23703573;23737644;23796517;23853095;23927931;24472553;7491105;7568086;7575438;7708065;7901001;7937976;8483904;8697303;8799146;8922372;8954967;8986763;8988180;9199333;9230347;9252422;9453241;9604866;9637677;9649577;9873045	TRRUST_from_CollecTRI
HNF4A	HNF1A	10331424;11085951;11145965;11717395;12601360;16670373;1734282;20850486;8367288;8674436;8735941;8808405;9111350;9204893;9232592;9313764;9792724;9837989	TRRUST_from_CollecTRI
NR1H4	CYP7A1	10334992;10673288;10753890;11518759;12062085;14684751;15817812;17054913;17135343;17690173;17720959;18323469;19056864;19085950;19237543;19805516;20338915;20699090;22365756;22683342	TRRUST_from_CollecTRI
RFX1	PCNA	10336433;7479004	TRRUST_from_CollecTRI
E2F1	DHFR	10336493;10597240;12565705;14618416;15481443;20580656;7494286;8441401;8816912;9096302;9819401	TRRUST_from_CollecTRI
WT1	THBS1	10340386;15542786;15618543	TRRUST_from_CollecTRI
SP1	IGFBP4	10342835	TRRUST_from_CollecTRI
ELF2	TEK	10347092;10347098;11157678;11967990	TRRUST_from_CollecTRI
NCOA4	AR	16110473;18156210	TRRUST_from_CollecTRI
MYC	TP53	10348347;10656696;10962037;11781835;11789587;14519204;15780936;16112647;16557594;19086036;19882681;7969121;8494784;9839551	TRRUST_from_CollecTRI
TP53	MYC	11179471;1400626;16107691;16980608;19202062;19411072;8479742;8741680;9196053;9632756	TRRUST_from_CollecTRI
TP53	NFKB1	15988033;8247545	TRRUST_from_CollecTRI
NFKB1	TP53	10348347;11032029;12145335;20097177;8051093	TRRUST_from_CollecTRI
TP53	RELA	11964305;15988033;21887328;9890939	TRRUST_from_CollecTRI
RELA	TP53	10348347;11032029;15155458;18269916;20061391;21332394;21887328;8051093;9890939	TRRUST_from_CollecTRI
FOXO1	IGFBP1	10358014;10358076;10385407;10702299;10973497;11570877;11733864;12163409;12493691;15200677;15987820;16690806;17341623;17426286;17609436;17923482;21401636;23603247;24174424	TRRUST_from_CollecTRI
STAT5A	CSN2	10358045;10418993;10471471;10732325;10834938;10993888;11158330;11167825;11287629;11604235;11751614;12060651;12082616;12459499;12596040;12605675;12732616;12746331;12954634;14646587;1491685;15534001;15746097;16832345;16965262;16973758;18024957;18583090;19490989;20980837;23313770;7514531;7519723;8018556;8264581;8274437;8830676;8943229;9231797;9252424;9341115;9343435;9657743;9806359;9817603;9973262	TRRUST_from_CollecTRI
AHR	CYP1A1	10359656;10496959;10731723;11207035;11368516;11516172;12051991;12139968;12213390;12369894;12376470;12917420;1312672;1314586;14729673;15325265;15460448;15608132;15820101;15832810;15958654;16531450;16601081;16891067;16972788;17012224;17182795;17599377;17682057;17707585;17707923;17785579;18824009;19022240;19154183;19268519;19287966;19376845;19525444;20051482;20732341;2082180;21104991;21250977;21292640;21357676;21646728;2166952;21732638;22187486;24639079;2846558;8386305;8391813;8631128;8631852;8646792;8647831;8666157;8824276;9013560;9374477;9635862;9698073;9853009;9865727	TRRUST_from_CollecTRI
STAT1	SOCS3	10359822;12639901;14742442;15339920;17091494;17558387;19115200;19122651;19643666	TRRUST_from_CollecTRI
STAT3	SOCS3	10359822;11159537;11682619;11788008;12565872;12639901;14688368;15184887;16293640;16300827;16709613;16718380;16783372;18237746;18489773;18571793;19332118;19535626;19628067;19759305;19910459;20032196;20357037;21098664;21994466;22179221;22575502;22739025;22943202;23027374;23104276;23303450;23335796;23439558;23782265	TRRUST_from_CollecTRI
POU2F1	IL5	10359895;10491186;11509003;8120390	TRRUST_from_CollecTRI
YY1	IL5	10359895;10518827;16922677;17270283	TRRUST_from_CollecTRI
RARA	PLAU	10361124	TRRUST_from_CollecTRI
SP1	PLAU	10361124;21076612;21567400;23978400	TRRUST_from_CollecTRI
LEF1	MMP7	10362259;10514384;11158322;11943708;12200448;12782598;12958188;15457508;22686279	TRRUST_from_CollecTRI
SPI1	BTK	10362515;8562928;8934542	TRRUST_from_CollecTRI
SP1	BTK	10362515;11254710;11779634;7721790;8562928	TRRUST_from_CollecTRI
SP3	BTK	10362515;11779634	TRRUST_from_CollecTRI
SP1	SP3	10485470;11432740;11517158;12509426;12554796;12888570;14608051;15118068;15475466;15816857;15857802;16024108;16617124;16806531;18006846;18342022;21604172;8862423;9632663	TRRUST_from_CollecTRI
STAT6	IL4	10364072;10369418;10373589;10528163;10820389;10982806;11150515;11544308;11687571;12082548;12138096;12218118;12244176;12605697;12776189;12778491;14993689;15695802;15728480;15922518;16084752;16647686;16914450;17041005;17433443;17645498;17878383;18400747;19419769;19604304;20214667;20225206;20620946;20828825;20980261;21081493;21751242;21949021;22226123;23727894;23913966;25037220;8624821;8760793;8816495;9110977;9199300;9295035;9317131;9647237;9786931;9845517	TRRUST_from_CollecTRI
STAT6	SELP	10364072	TRRUST_from_CollecTRI
GATA4	STAR	10364248;11111087;15059951;18653717	TRRUST_from_CollecTRI
JUN	JUN	10022869;10366004;10471787;10535756;10582624;11281649;12054430;12414794;12605669;12799614;12944913;1321269;1419903;14517094;14604893;14638681;15009188;15068801;1594601;15994313;16007074;16187211;16440308;16511568;16679312;16732317;17704768;18094076;1826351;18314492;18690718;1902565;19219074;19437621;19528235;19671687;21069729;21153089;21187389;22180088;22508041;22637579;23176534;23293292;24336657;3142689;7521696;7715778;7933141;7937838;7988742;8479909;8530413;8617242;8797597;9047395;9141200;9252389;9502786;9716184;9731701;9746785;9819389;9878062	TRRUST_from_CollecTRI
JUN	ABCB1	10369069;12907627;14612525;17283040;17452336;18213731;23678002	TRRUST_from_CollecTRI
RELA	CD40LG	10369418;11160303;11529914;21243522	TRRUST_from_CollecTRI
RBPJ	IL6	10329846;10373597;11886848;12200447;8972179;9199307;9502421;9516466	TRRUST_from_CollecTRI
SP1	ODC1	10374837;10448078;11149424;12297499;7876196;8132514;9115370	TRRUST_from_CollecTRI
BRCA1	MYC	12032322;12646176	TRRUST_from_CollecTRI
NR5A1	CYP19A1	10375033;10593363;10731122;11427738;12213901;12865342;14736734;16547409;16621513;17192407;17331471;17394235;17804753;18165439;19022561;19237537;19822197;20026603;20056824;20650879;21087664;21273442;21586554;22427816;23537609;23846226;24865234;7768959;8395654;9029737;9365194;9973254	TRRUST_from_CollecTRI
XBP1	IL6	10375612;12612580;16931790	TRRUST_from_CollecTRI
MYC	ODC1	10380878;10581008;11050389;11306486;11331080;12435808;12565711;14519204;15519656;15843384;16439861;16706751;17520086;18806825;19578763;19789310;20410304;20603835;2109024;21874531;26766587;7478599;7787888;7822433;7895500;8242794;8262968;8297793;8356088;8637719;9090124;9190900;9293942;9294616;9371770;9626477	TRRUST_from_CollecTRI
NRF1	CXCR4	10381170;20068066	TRRUST_from_CollecTRI
MYCN	NDRG1	10381566;11936845;14734473;18455888;19322780;23554972;23899187	TRRUST_from_CollecTRI
MYC	NDRG1	10381566;11936845;18455888;21976667	TRRUST_from_CollecTRI
TP63	CDKN1A	10383130;12374749;12640112;15790310;15965232;16007146;16410722;17404570;17965458;20123734;21093383;21480565;23665236;9405685	TRRUST_from_CollecTRI
POU1F1	GH1	10390158;10525051;10562456;10652292;10687855;11073444;11081207;11518797;11589626;11874696;12039061;12225774;12673394;12773133;12792149;1409723;1454833;15266826;1584227;15998782;1600947;16043966;16061841;16216912;16322098;16724305;16901973;16914737;17456792;17485162;1779974;18220741;1869051;19427323;19556346;1976240;19808898;19887646;2046665;20978111;2181288;2184776;2188653;22020338;2211620;22199144;22581457;22634956;22890843;2307370;24284820;2550324;2563596;2574416;2740217;2831625;7499395;7529501;7565785;7608249;7649093;7649480;7699993;7740167;7877625;7920986;8148036;8226986;8316253;8370519;8441408;8507204;8612514;8625613;8691106;8702932;8706656;8754847;8879985;8882721;9207961;9220025;9259323;9389530;9475179;9765286;9886052;9928036;9973253	TRRUST_from_CollecTRI
EGR1	ABCB1	10392899;10860921;11488907;11734301;23478574;7565762	TRRUST_from_CollecTRI
WT1	ABCB1	10392899;10860921;11734301	TRRUST_from_CollecTRI
YY1	CETP	10393213	TRRUST_from_CollecTRI
SREBF1	CETP	10393213;9712863	TRRUST_from_CollecTRI
PHOX2B	DBH	10395798;11034547;15888479;16280598;19573018;20875861;23873030;9798905	TRRUST_from_CollecTRI
SREBF1	SCD5	10400691;22510410;9705348	TRRUST_from_CollecTRI
STAT1	CD40	10403401;10823830;15182726;16020513;16571771;17507688;17660512;20006573	TRRUST_from_CollecTRI
NR0B1	STAR	10403575;11384875;11427738;11459805;15181096;16857744;18787026;19822634;22427816;9384387	TRRUST_from_CollecTRI
NR1I2	CYP3A4	10403778;10570062;10611146;10772626;10935643;11114890;11329060;11336976;11581012;11602521;11602528;11991950;12072427;12130689;12167569;12417264;12514743;12542705;12601364;12606758;12664659;12781341;12851153;15100175;15180306;15269186;15367577;15499176;15523048;15650019;15698577;16013442;16219912;16455805;16608838;17035600;17293382;17429319;17526937;17764444;18096673;18299335;18332045;18540626;18784074;18805405;19074998;19077665;19129222;19138736;19171678;19232333;19686701;19712670;19934400;20171174;20538721;20736322;20942813;21292004;21311750;21342487;21733184;21920351;22976785;22982774;23179081;23536728;23732298;23807564;23891548;23928187;9727070	TRRUST_from_CollecTRI
CREB1	PRL	10406465;11751586;1337142;17187171;17925456;9397971	TRRUST_from_CollecTRI
VDR	PRL	10406465	TRRUST_from_CollecTRI
STAT1	IFNA1	10406469;10586107;11244574;11566724;11591697;11909852;11972347;12356687;12748307;1315834;14978477;15467722;15664995;15714000;17050680;17374731;1756724;17617740;17689680;18024894;1833631;18562017;18616672;18778729;19135978;19561067;20526365;20585034;21659501;22252317;22479354;22589541;23598529;7796811;8034722;8444884;8454630;8509377;8683106;8805641;9325014	TRRUST_from_CollecTRI
WT1	BCL2	10406804;12644474;16760668;9235968	TRRUST_from_CollecTRI
FOS	CLU	10406964	TRRUST_from_CollecTRI
FOSL1	CLU	10406964	TRRUST_from_CollecTRI
JUNB	CLU	10406964	TRRUST_from_CollecTRI
CREB1	TH	10407170;11108136;11238722;15240392;16452470;16893419;20367754;9038229;9645965	TRRUST_from_CollecTRI
CREM	TAF4	10409662	TRRUST_from_CollecTRI
SREBF1	PPARG	10409739;12488352;18065496;18620774;19470430;19811452	TRRUST_from_CollecTRI
SREBF2	PPARG	10409739	TRRUST_from_CollecTRI
ESR2	OXT	10411324;11574541;12047722;12834440;22434086;23515287;6153132	TRRUST_from_CollecTRI
SP1	ABCB1	10411657;10644769;10860921;17363581;18234965;23133566;7565762;7621073;8103518;9458366	TRRUST_from_CollecTRI
YBX1	ABCB1	10411657;10597187;10644769;15569157;16361573;17072343;18234965;20099200;20856196;20929136;21300134;7908518;8797596;9748149	TRRUST_from_CollecTRI
JUN	SPI1	10411939;17283046;9178763;9988737	TRRUST_from_CollecTRI
HIF1A	VEGFA	10415537;10477681;10611972;10640274;10702253;10837481;10882714;10987301;11001829;11007955;11056102;11191064;11350893;11359907;11486006;11549290;11678207;11707426;11749701;11866451;12023962;12032158;12052835;12154035;12205045;12393646;12433987;12509854;12542982;12570801;12612059;12697836;12820439;12855680;12963476;14602779;14699103;14712484;15039660;15050899;15111179;15140752;15156561;15169887;15191799;15207747;15277220;15315159;15315937;15342781;15382039;15475194;15663958;15705785;15735682;15746177;15774498;15806152;15838297;15890092;15930297;15956714;15983061;16052307;16301840;16311927;16357173;16506055;16515634;16540671;16543242;16596228;16618748;16682453;16750526;16774940;16778202;16818499;16854277;16865543;16900513;16969516;16971129;16982770;17053163;17065555;17085645;17089387;17167225;17272396;17322369;17413038;17431122;17461470;17470361;17481912;17486380;17498666;17557905;17704802;17889387;17916562;17947829;17999410;18021292;18024476;18027712;18060642;18072084;18233956;18289162;18294451;18295594;18322419;18339855;18432192;18471962;18563715;18572865;18578647;18702304;18835464;19020709;19046997;19074414;19111391;19238077;19336759;19420388;19491109;19502554;19564336;19664474;19759417;19819950;19828020;20027628;20043814;20127031;20232316;20303950;20307196;20432243;20436213;20449875;20453883;20489156;20574527;20599538;20660740;20724477;20875806;21145972;21187066;21258402;21343542;21435239;21447827;21731766;21793044;21814878;22076197;22306343;22609851;22750006;22771629;22789427;22903062;23028984;23060442;23086815;23185615;23354733;23404377;24347168;24464787;8387214;8756616;9178256;9235919;9359410;9393757;9398602;9746763	TRRUST_from_CollecTRI
SMAD4	CDKN1A	10415848;10878024;10962574;11786386;12429655;24052079;9307274;9618481;9865717	TRRUST_from_CollecTRI
EGR1	TNF	10419778;10913190;11520792;11739517;11856733;11997234;12509451;12560487;14722058;14767560;15640148;15659537;16317093;17537727;18157146;18651635;18675783;20332214;20653771;21841136;23184950;23632636;23872552;24337575;7918637;8773576;9407088	TRRUST_from_CollecTRI
PPARG	FABP4	10425206;10935488;11574398;16854242;17322100;20160124;20656057;21047783;23805908;8943212;9831621	TRRUST_from_CollecTRI
STAT5A	BCL2L1	10428030;10428780;10435632;10727459;10964754;10979976;11731240;11756417;12946994;15545372;15626738;16214938;19339209;20585448	TRRUST_from_CollecTRI
SP1	LEP	10428494;11162472;12760745;16011026;16931573;17496155;18559540;19408304;23254958	TRRUST_from_CollecTRI
